,fantasy_pts,fg_made,fg_missed,opponent,pass_att,pass_tds,pass_yds,player_id,player_name,player_team,position,rec_recs,rec_tds,rec_yds,result,rush_att,rush_tds,rush_yds,turnovers,twoptm,week,xp_made,year
9056,8.0,0,0,GB,38,0,256,00-0026898,M.Sanchez,NYJ,QB,0,0,0,False,2,0,22,2,0,8,0,2010
9057,4.0,0,0,GB,0,0,0,00-0024240,S.Holmes,NYJ,WR,3,0,43,False,0,0,0,0,0,8,0,2010
9058,1.0,0,0,GB,0,0,0,00-0024110,S.Weatherford,NYJ,P,0,0,0,False,1,0,17,0,0,8,0,2010
9059,2.0,0,0,NYJ,0,0,0,00-0022999,J.Kuhn,GB,FB,0,0,0,True,8,0,21,0,0,8,0,2010
9060,8.0,0,0,NYJ,0,0,0,00-0024267,G.Jennings,GB,WR,6,0,81,True,0,0,0,0,0,8,0,2010
9061,0.0,0,0,NYJ,0,0,0,00-0027753,A.Quarless,GB,TE,0,0,0,True,0,0,0,0,0,8,0,2010
9062,3.0,0,0,GB,0,0,0,00-0026899,S.Greene,NYJ,RB,1,0,10,False,6,0,22,0,0,8,0,2010
9063,0.0,0,0,NYJ,0,0,0,00-0025465,J.Jones,GB,WR,0,0,0,True,0,0,0,0,0,8,0,2010
9064,7.0,3,1,NYJ,0,0,0,00-0025580,M.Crosby,GB,K,0,0,0,True,0,0,0,0,0,8,0,2010
9065,-1.0,0,0,GB,0,0,0,00-0024318,B.Smith,NYJ,WR,0,0,0,False,3,0,12,1,0,8,0,2010
9066,0.0,0,0,GB,0,0,0,00-0018234,D.Woody,NYJ,,0,0,0,False,0,0,0,0,0,8,0,2010
9067,0.0,0,0,GB,0,0,0,00-0024244,N.Mangold,NYJ,C,0,0,0,False,0,0,0,0,0,8,0,2010
9068,3.0,0,0,GB,0,0,0,00-0023438,B.Edwards,NYJ,,1,0,32,False,0,0,0,0,0,8,0,2010
9069,1.0,0,0,NYJ,0,0,0,00-0026357,B.Swain,GB,,1,0,12,True,0,0,0,0,0,8,0,2010
9070,0.0,0,0,NYJ,0,0,0,00-0021929,D.Lee,GB,,1,0,5,True,0,0,0,0,0,8,0,2010
9071,0.0,0,0,NYJ,0,0,0,00-0019702,C.Clifton,GB,,0,0,0,True,0,0,0,0,0,8,0,2010
9072,5.0,1,0,SD,0,0,0,00-0020962,R.Bironas,TEN,K,0,0,0,False,0,0,0,0,0,8,2,2010
9073,11.0,0,0,TEN,0,0,0,00-0027864,R.Mathews,SD,RB,3,0,11,True,15,1,43,0,0,8,0,2010
9074,18.0,0,0,TEN,36,2,305,00-0022942,P.Rivers,SD,QB,0,0,0,True,2,0,3,1,0,8,0,2010
9075,18.0,0,0,TEN,0,0,0,00-0021547,A.Gates,SD,TE,5,1,123,True,0,0,0,0,0,8,0,2010
9076,0.0,0,0,TEN,0,0,0,00-0022017,M.Scifres,SD,P,0,0,0,True,0,0,0,0,0,8,0,2010
9077,13.0,0,0,SD,0,0,0,00-0026164,C.Johnson,TEN,RB,5,0,24,False,15,1,59,0,0,8,0,2010
9078,17.0,0,0,SD,0,0,0,00-0023367,N.Washington,TEN,WR,4,1,117,False,0,0,0,0,0,8,0,2010
